"cell_type","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"astrocytes_Alzheimer","CLIC4",4.17272403802752e-24,-0.80903148136919,0.221,0.41,1.14303429573688e-19
"astrocytes_Alzheimer","MACROD2",4.23721440274384e-24,0.525818341377204,0.875,0.786,1.16070014134362e-19
"astrocytes_Alzheimer","CNTNAP3B",4.42237178367419e-24,-0.417302827216356,0.697,0.855,1.21142030270187e-19
"astrocytes_Alzheimer","TRAF3IP2-AS1",7.23204303592685e-24,0.517998026095495,0.81,0.708,1.98107354883144e-19
"astrocytes_Alzheimer","PTN",7.25165682464843e-24,-0.481008623073214,0.705,0.832,1.98644635397594e-19
"astrocytes_Alzheimer","MGAT5",7.41876179358674e-24,-0.835867772745551,0.439,0.591,2.03222141811721e-19
"astrocytes_Alzheimer","ARRB1",9.3706623382712e-24,0.521540875795781,0.542,0.346,2.56690553432263e-19
"astrocytes_Alzheimer","CRISPLD1",1.5225857470914e-23,-0.648204937934727,0.063,0.236,4.17081913700746e-19
"astrocytes_Alzheimer","MPHOSPH8",1.81188911723933e-23,0.497541173772826,0.485,0.302,4.96330785885369e-19
"astrocytes_Alzheimer","RFX2",2.04638058332902e-23,0.490404489595437,0.713,0.559,5.60565033191319e-19
"astrocytes_Alzheimer","ABI1",3.59458132924911e-23,-0.429879113864731,0.757,0.862,9.84663663521208e-19
"astrocytes_Alzheimer","MACF1",4.08940628408204e-23,-0.656053913150861,0.996,0.994,1.12021106339859e-18
"astrocytes_Alzheimer","EYA2",4.11874767787067e-23,0.456146379176837,0.801,0.658,1.12824855139911e-18
"astrocytes_Alzheimer","ANO6",5.22346955332168e-23,-1.09255441154765,0.451,0.555,1.43086501474141e-18
"astrocytes_Alzheimer","CDC7",5.47982739579313e-23,-0.366764019078557,0.031,0.186,1.50108911852961e-18
"astrocytes_Alzheimer","S100A1",5.78129546276591e-23,-0.503569834274119,0.149,0.343,1.58367026611547e-18
"astrocytes_Alzheimer","MT-CYB",6.01269709408924e-23,0.689883636119704,0.666,0.508,1.64705811498387e-18
"astrocytes_Alzheimer","DLGAP1",7.01923709978426e-23,0.578948979061215,0.786,0.653,1.9227796187439e-18
"astrocytes_Alzheimer","TUBB2A",1.0863881194706e-22,-0.46809127317874,0.141,0.33,2.97594297566581e-18
"astrocytes_Alzheimer","ACTG1",1.11663417041043e-22,-0.480009788807545,0.405,0.591,3.0587959830053e-18
"astrocytes_Alzheimer","SLC13A5",1.26382649934473e-22,-0.450188305975855,0.135,0.324,3.46199992965501e-18
"astrocytes_Alzheimer","PIP4K2A",2.00483409184349e-22,-0.656589073936247,0.596,0.712,5.49184202778688e-18
"astrocytes_Alzheimer","HES1",2.08848222827304e-22,-0.600175859044714,0.205,0.401,5.72097936790835e-18
"astrocytes_Alzheimer","PBX1",2.88931288092912e-22,0.385443486781431,0.882,0.784,7.91469477472915e-18
"astrocytes_Alzheimer","EMP1",5.00878424146147e-22,-0.732096583591217,0.094,0.27,1.37205626726354e-17
"astrocytes_Alzheimer","ADGRV1",5.0682241466866e-22,-0.286893196765235,0.994,0.998,1.38833864050186e-17
"astrocytes_Alzheimer","GNAQ",5.69694212077075e-22,-0.372113424297899,0.904,0.958,1.56056335514273e-17
"astrocytes_Alzheimer","LRRC3B",5.82239376856204e-22,-0.557386852044218,0.638,0.78,1.5949283250222e-17
"astrocytes_Alzheimer","ENTPD1",5.84927254143521e-22,-0.604669836107174,0.342,0.536,1.60229122727535e-17
"astrocytes_Alzheimer","TENT2",6.48116145524532e-22,-0.40700211700879,0.566,0.712,1.77538455743535e-17
"astrocytes_Alzheimer","ARNT2",7.45313699874585e-22,0.402794636328648,0.85,0.79,2.04163781806645e-17
"astrocytes_Alzheimer","TOGARAM2",8.07055981755178e-22,0.441035626963706,0.461,0.272,2.21076845082196e-17
"astrocytes_Alzheimer","B3GALT5",8.61347846636197e-22,0.351215627019503,0.289,0.13,2.35949015629053e-17
"astrocytes_Alzheimer","APC",9.6667627412182e-22,-0.442845709392486,0.884,0.936,2.6480163177019e-17
"astrocytes_Alzheimer","AL591686.2",1.18260316440733e-21,0.477257041636224,0.321,0.15,3.23950484826101e-17
"astrocytes_Alzheimer","BBOX1",1.51919529521502e-21,0.523164956609658,0.536,0.371,4.16153167218251e-17
"astrocytes_Alzheimer","APOL6",1.54673627114069e-21,-0.330535129182291,0.057,0.22,4.23697466753568e-17
"astrocytes_Alzheimer","SRP14",1.6890611202947e-21,-0.481242887004975,0.197,0.384,4.62684512682326e-17
"astrocytes_Alzheimer","GALNT10",1.74698354663616e-21,-0.687694436567346,0.24,0.421,4.78551202930043e-17
